,US_AGG,GLOBAL_AGG,EMSov
1/31/1994,0.013501639,0.00703774,0.00444
2/28/1994,-0.017373326,-0.019125787,-0.09219
3/31/1994,-0.02465428,-0.018695117,-0.13367
4/29/1994,-0.007985108,-0.007160143,-0.01938
5/31/1994,-0.000140294,-0.005091339,0.07618
6/30/1994,-0.002209945,-0.005266304,-0.05637
7/29/1994,0.019863242,0.015187315,0.00835
8/31/1994,0.001240973,-0.003048454,0.08528
9/30/1994,-0.014718287,-0.008693327,0.02607
10/31/1994,-0.000891048,0.001237423,-0.02833
11/30/1994,-0.002220862,0.00411893,0.00016
12/30/1994,0.006905254,0.003650375,-0.05603
1/31/1995,0.019790434,0.016028539,-0.03397
2/28/1995,0.023775794,0.018908983,-0.03462
3/31/1995,0.006135174,0.010679268,-0.01359
4/28/1995,0.013968517,0.01481107,0.09587
5/31/1995,0.038697237,0.034851543,0.0893
6/30/1995,0.00733154,0.002886929,0.02264
7/31/1995,-0.002233433,0.004270833,-0.00169
8/31/1995,0.01206875,0.010943881,0.02846
9/29/1995,0.009728559,0.011190789,0.03014
10/31/1995,0.013004718,0.012093135,-0.00638
11/30/1995,0.014984955,0.017627409,0.02636
12/29/1995,0.014033729,0.012789286,0.06591
1/31/1996,0.006640614,0.009158925,0.07221
2/29/1996,-0.017382294,-0.014902866,-0.05201
3/29/1996,-0.006951149,-0.001095658,0.02104
4/30/1996,-0.005623775,0.002182193,0.0416
5/31/1996,-0.002030594,0.001224621,0.01789
6/28/1996,0.013429192,0.011465197,0.02739
7/31/1996,0.002736507,0.004728843,0.01793
8/30/1996,-0.001675986,0.003727312,0.03009
9/30/1996,0.017426831,0.01937347,0.05596
10/31/1996,0.022151483,0.019502426,0.01706
11/29/1996,0.017128571,0.018428974,0.05018
12/31/1996,-0.009297883,-0.004643718,0.00781
1/31/1997,0.003062223,0.006530524,0.02441
2/28/1997,0.002487527,0.0040029,0.01663
3/31/1997,-0.011081504,-0.008733299,-0.0366
4/30/1997,0.01496942,0.013267035,0.02962
5/30/1997,0.009453177,0.008253656,0.03474
6/30/1997,0.011869312,0.013800903,0.02212
7/31/1997,0.026966817,0.02174137,0.04128
8/29/1997,-0.008529727,-0.004702956,-0.00469
9/30/1997,0.014748187,0.016033932,0.02475
10/31/1997,0.01450722,0.010711993,-0.10076
11/28/1997,0.004604788,0.005921326,0.03685
12/31/1997,0.010068429,0.010780248,0.01057
1/30/1998,0.012838248,0.013326612,0.00779
2/27/1998,-0.000753127,0.003099594,0.01982
3/31/1998,0.003436338,0.00561579,0.02001
4/30/1998,0.005219605,0.004763527,0.00222
5/29/1998,0.009485816,0.010976175,-0.02636
6/30/1998,0.008480849,0.006869431,-0.02234
7/31/1998,0.002127263,0.005696054,0.0024
8/31/1998,0.016274393,0.017119616,-0.25968
9/30/1998,0.023416028,0.022738051,0.09522
10/30/1998,-0.00527547,-0.002779766,0.06533
11/30/1998,0.005663411,0.008304013,0.05303
