Date,EMStock_Price,EMBond_Price,MSCI_WORLD,US_AGG,SP500,MSCI_EUROPE,MSCI_JAPAN,GLOBAL_AGG,GOLD,OIL,COPPER
6/30/2011,440.8 ,542.089002,3290.219,"1,685.8 ","2,241.7 ",4912.625,3959.084,403.1 ,386.5 ,515.0 ,917.2 
7/29/2011,438.9 ,552.1068068,3230.56,"1,712.5 ","2,196.1 ",4746.096,4099.298,407.6 ,419.0 ,513.6 ,959.4 
8/31/2011,399.7 ,552.0957647,3002.944,"1,737.6 ","2,076.8 ",4270.597,3766.117,412.6 ,470.5 ,473.7 ,895.5 
9/30/2011,341.4 ,528.0354312,2743.578,"1,750.2 ","1,930.8 ",3801.836,3704.162,415.1 ,416.7 ,420.8 ,671.3 
10/31/2011,386.6 ,551.2795509,3027.365,"1,752.1 ","2,141.8 ",4261.978,3695.024,414.7 ,443.1 ,492.7 ,773.6 
11/30/2011,360.9 ,546.4393165,2953.45,"1,750.6 ","2,137.1 ",4069.658,3531.874,412.4 ,449.0 ,531.2 ,757.1 
12/30/2011,356.5 ,552.5976876,2951.809,"1,769.8 ","2,158.9 ",4006.781,3561.126,418.7 ,401.9 ,522.1 ,727.6 
1/31/2012,396.9 ,560.1959058,3099.94,"1,785.3 ","2,255.7 ",4194.567,3722.118,422.8 ,445.7 ,519.3 ,802.5 
2/29/2012,420.7 ,573.6294036,3251.368,"1,784.9 ","2,353.2 ",4460.229,3909.955,424.4 ,438.2 ,561.5 ,820.0 
3/30/2012,406.7 ,574.9028609,3293.169,"1,775.1 ","2,430.7 ",4433.988,3962.28,423.8 ,427.5 ,538.0 ,808.5 
4/30/2012,401.8 ,583.7966081,3255.772,"1,794.8 ","2,415.4 ",4332.391,3835.74,426.4 ,425.6 ,544.4 ,807.8 
5/31/2012,356.8 ,570.2700407,2974.721,"1,811.1 ","2,270.3 ",3801.381,3493.331,430.8 ,399.5 ,447.6 ,710.0 
6/29/2012,370.5 ,590.2751137,3126.299,"1,811.8 ","2,363.8 ",4102.879,3672.903,430.1 ,409.7 ,438.5 ,735.8 
7/31/2012,377.7 ,610.5156474,3166.489,"1,836.8 ","2,396.6 ",4149.054,3585.193,436.0 ,411.2 ,452.4 ,719.3 
8/31/2012,376.5 ,617.7502578,3246.765,"1,838.0 ","2,450.6 ",4332.074,3559.157,437.0 ,429.8 ,494.0 ,725.2 
9/28/2012,399.2 ,627.8010545,3335.965,"1,840.5 ","2,513.9 ",4459.976,3641.937,438.7 ,451.8 ,470.7 ,788.4 
10/31/2012,396.8 ,631.7624791,3313.422,"1,844.1 ","2,467.5 ",4524.799,3573.74,440.0 ,437.9 ,438.7 ,738.0 
11/30/2012,401.8 ,639.2046412,3355.85,"1,847.0 ","2,481.8 ",4642.302,3658.601,442.2 ,435.7 ,449.8 ,763.4 
12/31/2012,421.5 ,643.7366021,3418.961,"1,844.4 ","2,504.4 ",4772.93,3852.423,442.6 ,426.4 ,460.6 ,764.0 
1/31/2013,427.3 ,635.1234063,3593.121,"1,831.5 ","2,634.2 ",5051.932,3993.867,440.2 ,422.3 ,486.7 ,780.7 
2/28/2013,421.9 ,633.1545238,3599.054,"1,840.7 ","2,669.9 ",4912.219,4100.351,442.9 ,401.0 ,456.5 ,739.0 
3/29/2013,414.6 ,629.197308,3683.356,"1,842.1 ","2,770.1 ",4902.052,4300.571,445.2 ,405.0 ,480.0 ,708.8 
4/30/2013,417.8 ,647.4440299,3799.348,"1,860.8 ","2,823.4 ",5114.707,4677.762,450.0 ,373.7 ,459.8 ,660.2 
5/31/2013,407.1 ,624.3043803,3800.783,"1,827.6 ","2,889.5 ",5124.165,4412.798,443.6 ,353.2 ,451.4 ,682.0 
6/28/2013,381.1 ,593.6323061,3707.13,"1,799.3 ","2,850.7 ",4876.846,4489.94,437.5 ,310.3 ,472.0 ,630.5 
7/31/2013,385.1 ,597.7758596,3902.295,"1,801.8 ","2,995.7 ",5235.994,4517.012,439.2 ,332.4 ,514.1 ,643.1 
8/30/2013,378.5 ,582.4668198,3819.235,"1,792.6 ","2,909.0 ",5169.189,4419.821,437.5 ,353.5 ,533.0 ,665.2 
9/30/2013,403.1 ,599.5039743,4010.245,"1,809.5 ","3,000.2 ",5540.82,4789.017,441.1 ,336.0 ,509.4 ,683.7 
10/31/2013,422.7 ,616.0922493,4167.22,"1,824.2 ","3,138.1 ",5778.195,4788.97,445.0 ,335.1 ,483.7 ,679.1 
11/29/2013,416.5 ,605.5878764,4241.278,"1,817.3 ","3,233.7 ",5846.499,4860.19,444.4 ,316.3 ,464.1 ,657.7 
12/31/2013,410.5 ,611.9162697,4331.022,"1,807.1 ","3,315.6 ",5977.344,4898.866,442.0 ,304.2 ,492.1 ,697.0 
1/31/2014,383.8 ,607.7735966,4170.608,"1,833.8 ","3,201.0 ",5746.343,4709.863,448.4 ,313.5 ,486.8 ,656.1 
2/28/2014,396.6 ,626.1952143,4379.393,"1,843.5 ","3,347.4 ",6165.987,4684.598,450.6 ,334.2 ,515.2 ,654.8 
3/31/2014,408.7 ,634.7553029,4385.731,"1,840.4 ","3,375.5 ",6103.023,4624.273,451.0 ,324.6 ,513.6 ,621.5 
4/30/2014,410.1 ,642.6326162,4430.671,"1,855.9 ","3,400.5 ",6255.26,4504.875,454.1 ,327.7 ,510.2 ,624.4 
5/30/2014,424.4 ,662.5799326,4517.844,"1,877.0 ","3,480.3 ",6311.213,4687.044,458.5 ,315.0 ,528.8 ,644.2 
6/30/2014,435.7 ,665.4621553,4598.664,"1,878.0 ","3,552.2 ",6304.721,4932.14,460.1 ,334.2 ,548.3 ,661.4 
